date,institution_id,total_assets,cash_equivalents,securities,loans,other_assets,total_liabilities,deposits,borrowings,equity,layer
2024-11-09,CU_049,245490009853.56024,18077634226.23746,45629844442.61894,129730865971.27707,21995984018.202576,219660573442.58807,161315074075.59015,36835304116.15295,22461369229.83796,banking
2024-11-10,CU_049,244979700897.70892,30250141456.371677,51227605568.28339,129506977027.71257,13006513878.564487,220853944245.14444,171478829717.60703,30219474630.208958,23434046739.694622,banking
2024-11-11,CU_049,252488020105.83536,25387836796.503212,59554311289.03435,146936890194.96228,20333825243.510166,228066106530.6925,156653196134.07864,26498362107.968933,27452282836.78488,banking
2024-11-12,CU_049,249762304730.94803,21193249234.390575,52148439169.20919,145326691855.45325,21678718767.32673,225579856789.77875,174549861185.4021,38639072522.9694,21566030091.809544,banking
2024-11-13,CU_049,252254831232.09326,22744501341.21264,43055548600.98944,162701726460.77716,20848558815.706112,231275076971.51288,160639911339.28586,41604052971.0282,24542892705.326927,banking
2024-11-14,CU_049,244159363765.94052,23792384544.867245,45034889060.06012,125289811772.00737,21360191269.14525,220223663576.64996,147717813696.7315,30351758160.255962,28983011092.891552,banking
2024-11-15,CU_049,250895718059.0034,35728043985.497154,51628602943.11253,156632979930.0228,18932078090.837006,225668659883.63135,158011477153.2799,44866699986.02622,25200650964.734642,banking
2024-11-16,CU_049,245564760114.27136,23124338519.167496,48415804390.43877,124112049609.61784,21318795895.09789,216294536091.4081,167854474398.3804,40406639930.16143,20075470261.49767,banking
2024-11-17,CU_049,246967068771.29495,31367872136.724022,40593429698.68204,141788690776.35037,13753315615.715763,226817651238.62305,156757332496.2273,35564428495.041145,23929636385.528835,banking
2024-11-18,CU_049,249697555585.0457,20676626310.854294,49444491468.969185,159386390848.87656,13205293375.271223,219881577801.8229,187176998772.82434,36646385301.910706,23294997255.361443,banking
2024-11-19,CU_049,245883286213.78506,29009260166.49086,52279958359.31559,132610832591.09464,15283221861.995327,224567883967.91187,174787247727.49734,43371470592.0195,24152830568.9784,banking
2024-11-20,CU_049,246819685299.626,24628158876.910698,51678510165.05229,150162621443.5917,18010105200.293312,224063721467.08273,167374590779.51212,28666436811.139977,20497469055.53311,banking
2024-11-21,CU_049,249314026438.1172,24021113835.08325,46888452689.930954,145977084891.55765,21203663052.40794,221705550670.6767,169977597419.29718,30399848541.024395,26329982880.90785,banking
2024-11-22,CU_049,249263692992.17105,29916039617.529266,58216236628.84551,136838669487.72185,23590213681.18893,220116029106.19482,173322966303.3016,32560889917.918133,27393483573.521603,banking
2024-11-23,CU_049,243810872973.65652,32438886564.589592,56877712531.12676,139586900178.1832,23520928735.5808,218616391297.22592,179381455262.01285,24395409057.571632,23476146931.270226,banking
2024-11-24,CU_049,244319823060.56866,16877769163.932642,47363092873.588326,147154795278.95087,16006055955.235111,217268459280.23306,177764715318.3004,25765300411.267567,27807801369.025166,banking
2024-11-25,CU_049,243996950188.30353,12434065807.639063,59442501942.01132,134461720552.28009,14210545774.385733,216523773996.05777,170072459260.28278,44563795818.67074,23910528189.436295,banking
2024-11-26,CU_049,245978673723.3007,19989492186.183456,41798730819.21123,130021469031.71634,19168583264.14172,221641076092.9202,172468434134.9876,28905369044.16456,20075391979.152115,banking
2024-11-27,CU_049,249375840889.39294,34391603486.20698,55163432003.696625,132935246929.3632,17752806448.510525,221601326301.39984,155952780568.59952,46806091712.93732,21470063009.839653,banking
2024-11-28,CU_049,250665786976.09256,21343312273.1062,44082945929.89887,160409417557.07224,23607787693.537514,222854534233.3196,165884765937.15097,42746489223.674225,28201956160.905422,banking
2024-11-29,CU_049,248095932502.24194,35081200142.38916,47562598537.120804,128028624186.59824,24592569619.19438,227554332511.8559,177625078399.17508,46948804191.12891,26268954626.829597,banking
2024-11-30,CU_049,247733932851.67673,21670074328.4401,44744385991.95484,149321366430.03656,16064991645.559418,221394739740.35623,167193425949.0873,35821291602.52272,20300774244.233837,banking
2024-12-01,CU_049,248012521864.97528,24530985656.751995,51024119364.193,156348301526.8737,16715496384.04182,225200692286.68994,182921232167.5945,47897041580.67439,29156348323.136787,banking
2024-12-02,CU_049,252087199522.02313,26620757656.83243,55631683866.54098,128645988234.47926,14956127383.675407,231820083312.87,152203399812.10385,25964901349.937893,22570501555.606674,banking
2024-12-03,CU_049,249345154076.1888,17424255362.904366,39955383337.404175,130134609342.23232,18236362259.020214,224703038042.22137,159003239745.03973,48718539663.53365,28025657468.22612,banking
2024-12-04,CU_049,248412523025.3507,16552216423.854025,59402047974.66357,129961964430.85391,20911951964.3171,224816418734.56494,181891720520.17532,32742302576.900864,22334297726.228546,banking
2024-12-05,CU_049,247956317487.8864,34272624617.73752,40568621365.68174,159210572400.76016,20599147329.080788,218945009751.8092,171269626668.7179,37946396779.948845,26078228590.687973,banking
2024-12-06,CU_049,248653722763.7655,32266921944.019917,58142360596.142006,145155323739.54898,13593431973.477287,223804677141.05057,152733329282.2816,25426399155.147415,24176752629.34918,banking
2024-12-07,CU_049,253382760744.0739,16990612435.815979,58375232778.05629,127071621629.47125,13833040787.84524,231473535543.8568,166496160734.0008,49879562953.45425,20896848388.758232,banking
2024-12-08,CU_049,247066775245.98776,26757185733.448788,54008168826.00425,142299685850.06433,22766920637.174187,223970346050.0899,182979725505.32626,44003433379.346146,29310422321.711678,banking
2024-12-09,CU_049,251065993169.80826,18568128289.274338,50675224778.274315,138598785778.74844,18379064860.314327,225815676961.51273,186453059826.65448,43702748169.5199,27748963501.47122,banking
2024-12-10,CU_049,252721297283.04614,12856110619.222975,56592226120.59364,154577373511.15317,18800335320.265446,225465208796.97888,153566648321.86334,49751669901.71682,25200583661.956963,banking
2024-12-11,CU_049,244897071548.55743,28606083807.58319,55869254262.42816,156259988955.2206,18204444197.337288,223435977314.03586,178374990195.8343,29715267476.954,23705694955.688168,banking
2024-12-12,CU_049,249743092996.38138,25923346380.41297,62305934105.59094,138835286154.58865,23316222322.260372,221717151694.62595,183869739213.6525,25308800277.419563,27271796247.74384,banking
2024-12-13,CU_049,248379089703.01996,12623267396.513502,59471257938.9945,148975526948.0683,21436532224.93945,224653603602.79965,183202829274.42938,45129136410.42486,22812013069.38121,banking
2024-12-14,CU_049,247120123774.3332,15500738380.343672,38249558998.002884,152466606376.23993,16434245136.568335,222809908400.20764,174420579788.97522,42420314367.01085,28329816534.687412,banking
2024-12-15,CU_049,251814928884.42685,30020006608.385174,42925524333.57552,157406984418.24863,13971807269.192959,223933800109.85602,163707221932.26855,39412547507.91886,29653611205.33436,banking
2024-12-16,CU_049,249446474561.09705,28781651726.651024,52066857966.51679,127905549360.7211,16228834658.33688,228746172936.79422,158534559230.6492,35254569476.303665,25761885715.20755,banking
2024-12-17,CU_049,251237959239.13232,26757455710.317196,48846851839.88519,151954482651.4132,20225948648.263874,226207012005.62848,172948379302.7387,35343983290.44213,25248793505.304813,banking
2024-12-18,CU_049,248200452891.24347,37181312445.40869,38612155988.367516,148615349106.18402,15417202923.006865,222117698171.66455,155981587726.21622,43486156295.8102,22707878167.155613,banking
2024-12-19,CU_049,250242492167.58716,26737801304.091248,48261011891.499,137917196470.12585,21264516606.829006,225592767482.75558,151912896247.1239,43520393815.08418,27594119696.497128,banking
2024-12-20,CU_049,247898318401.2068,12880355913.562431,41917191380.65312,145296700996.51712,21768898340.432674,218994528722.41266,173760035867.0366,37216657230.1292,22157664190.63069,banking
2024-12-21,CU_049,248569654199.06,14009382158.034195,53670360972.25199,128973310807.13313,12714856864.709665,219005987812.33835,175655512215.82538,30920143405.67806,25158082849.879753,banking
2024-12-22,CU_049,244190783599.16397,13298193480.915882,57341913855.41242,148009159604.37265,13558208859.58976,220239669089.95282,152114123625.23453,43442446678.64643,26062885848.38201,banking
2024-12-23,CU_049,253149171246.3764,26945925427.700733,47905404698.488716,152992077093.6839,20182567233.390568,226914806896.63596,167838288733.2058,29103812569.943363,25085527328.444283,banking
2024-12-24,CU_049,245270687027.69797,16497208315.587967,40610370115.287766,140319648736.38763,18245879643.920647,216463002645.167,171082282952.02994,28523071966.313316,24159435896.892185,banking
2024-12-25,CU_049,249786841359.94418,13855720980.92927,51361570346.80099,159251180851.7795,14180126359.040571,228981072537.92746,180488182569.89307,38378715857.37188,21233931725.10453,banking
2024-12-26,CU_049,250931747021.64157,28793764809.654205,54355120874.98339,130338153365.58897,18689020644.406433,227379523282.5049,168093012170.61896,39903095748.74147,25739079196.506187,banking
