:START_ID,:END_ID,:TYPE,network_layer,weight,transaction_date,maturity_days,interest_rate,currency,correlation,window_days,shares_held,layer_bridge,bridge_type,ticker,propagation_factor,created_at
BANK_CU_002,BANK_CU_044,interbank_lending,banking,139798772.6295555,2024-01-20,103.0,3.174996517121546,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_038,BANK_BLK,derivative_exposure,banking,195486477.82429916,2024-09-13,294.0,0.504672595046086,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_026,BANK_CU_008,repo_agreement,banking,128716199.03875837,2025-05-23,170.0,0.7799939792816926,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_005,BANK_CU_015,repo_agreement,banking,141131727.78521577,2025-03-08,21.0,3.202995511817258,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_010,BANK_CFG,credit_line,banking,64650817.10095758,2024-10-20,340.0,1.9461527961560705,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_COF,BANK_CVBF,interbank_lending,banking,4440849862.000127,2024-01-29,360.0,5.032168461905915,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_C,BANK_CU_005,interbank_lending,banking,8313496175.208359,2024-12-15,162.0,2.8709014160108866,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_012,BANK_BANC,credit_line,banking,130953819.85836196,2024-10-12,280.0,2.6405199601615355,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_TCBI,BANK_SEIC,credit_line,banking,261727305.05589545,2024-01-13,9.0,5.133468615779945,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_031,BANK_COF,derivative_exposure,banking,140893996.2171517,2024-08-24,231.0,4.406462153011667,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_022,BANK_FITB,overnight_lending,banking,105622737.82973996,2023-12-27,62.0,2.4510999321604823,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_WAL,BANK_CU_016,overnight_lending,banking,3546741472.7982516,2025-02-13,5.0,3.867663185416977,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BK,BANK_CU_030,repo_agreement,banking,5795023763.993276,2025-05-16,179.0,0.6885751141204055,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_046,BANK_C,letter_of_credit,banking,140662606.89167258,2024-12-20,143.0,5.033306831258292,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_036,BANK_APAM,letter_of_credit,banking,94345052.8756571,2025-05-19,134.0,3.2392074228974614,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_AMG,BANK_CU_013,repo_agreement,banking,1366263864.10202,2025-03-29,231.0,5.940970649274524,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_012,BANK_CU_028,correspondent_banking,banking,74698377.97144125,2024-11-02,137.0,3.408979828153899,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_EWBC,BANK_BLK,letter_of_credit,banking,414073164.67980266,2024-11-17,233.0,2.923017026348245,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_002,BANK_FITB,overnight_lending,banking,156840588.4886663,2024-11-29,101.0,2.2090429662648057,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_BAC,BANK_WFC,repo_agreement,banking,7257635085.260228,2024-06-21,126.0,1.3693692325473386,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_005,BANK_CU_026,overnight_lending,banking,159232452.29177892,2024-12-14,280.0,3.3218038066762308,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_HBAN,BANK_CU_048,interbank_lending,banking,3898888827.9989066,2024-05-14,349.0,5.6501528288823195,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_FHN,BANK_CU_041,repo_agreement,banking,5114994904.68797,2024-04-04,199.0,1.5461985740299486,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_JPM,BANK_FITB,overnight_lending,banking,4068037155.5328526,2025-02-24,298.0,2.0476497662909336,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_010,BANK_BAC,fed_funds_transaction,banking,184582363.692999,2024-07-20,37.0,5.795818059136038,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_049,BANK_FHN,derivative_exposure,banking,178448643.78171387,2024-03-19,54.0,5.179253275145744,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_022,BANK_FCNCA,correspondent_banking,banking,51379557.74249445,2024-07-20,99.0,6.341983020531904,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_016,BANK_CU_004,repo_agreement,banking,76388787.9016018,2025-09-20,68.0,1.9234945249808004,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_COF,BANK_TFC,derivative_exposure,banking,6762314525.016037,2025-08-10,22.0,1.9639378602745017,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_001,BANK_CU_005,letter_of_credit,banking,169221695.53124726,2023-12-06,286.0,4.370620172183389,USD,,,,,,,,2025-11-13T14:41:50.611004
BANK_CU_019,BANK_CU_011,repo_agreement,banking,53647394.96471807,2025-04-08,49.0,0.7616226305266025,USD,,,,,,,,2025-11-13T14:41:50.611004
