node_id,node_type,network_layer,name,institution_id,tier,total_assets,total_deposits,total_loans,equity,num_branches,num_employees,cert,assets,city,state,ticker,sector,industry,market_cap,trailing_pe,debt_to_equity,beta,cik,created_at
BANK_JPM,bank,banking,JPM Financial Corp,JPM,tier1_national,2783277192147.1216,1741960462503.6794,1863252123664.4104,310455051582.1201,2102.0,77774.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_BAC,bank,banking,BAC Financial Corp,BAC,tier1_national,2715425942094.948,1493225317021.3755,1559695547442.552,247172998721.848,2975.0,113050.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_WFC,bank,banking,WFC Financial Corp,WFC,tier1_national,74852056011.42174,41956122114.883415,45259673894.98551,8487621699.332675,4323.0,151305.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_C,bank,banking,C Financial Corp,C,tier1_national,1597308405577.5957,1175355104281.2864,834156657691.4427,149967517152.34036,2494.0,92278.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_USB,bank,banking,USB Financial Corp,USB,tier1_national,2906306694506.7246,2097206824220.9612,1975700494030.864,272015682179.3891,675.0,14850.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_PNC,bank,banking,PNC Financial Corp,PNC,tier1_national,603952930134.3759,476423006009.4825,352542195729.81116,51728201118.47223,2953.0,91543.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_TFC,bank,banking,TFC Financial Corp,TFC,tier1_national,344691206000.1008,266308455939.98636,227176172078.53104,28023611274.67193,2060.0,74160.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_COF,bank,banking,COF Financial Corp,COF,tier1_national,380674949697.6492,292779398318.0577,220066536148.62408,35339653479.243576,2862.0,97308.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_BK,bank,banking,BK Financial Corp,BK,tier1_national,273577041750.034,130383999623.78616,148551028792.75464,23789243631.68066,1766.0,54746.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_STT,bank,banking,STT Financial Corp,STT,tier1_national,137446164670.18857,107200697438.69572,91545156765.09602,11357534129.86925,2605.0,44285.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_MTB,bank,banking,MTB Financial Corp,MTB,tier1_national,2285764689076.979,1959145907988.7195,1380651141954.8848,264429820141.45227,1040.0,45760.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_FITB,bank,banking,FITB Financial Corp,FITB,tier1_national,836702778300.1835,406586547200.1829,530242889212.6686,77839371691.35051,2599.0,127351.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_KEY,bank,banking,KEY Financial Corp,KEY,tier1_national,702653726631.8947,582165971535.7292,482036097602.02026,58669955670.15554,3028.0,118092.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_CFG,bank,banking,CFG Financial Corp,CFG,tier1_national,1514801848620.212,1060237861238.1832,1042703282526.6676,144232810746.49683,4202.0,121858.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
BANK_RF,bank,banking,RF Financial Corp,RF,tier1_national,1786936345346.8347,996425707928.47,1217467593596.9436,176996468378.19165,2099.0,31485.0,,,,,,,,,,,,,2025-11-13T14:41:50.237751
