symbol1,symbol2,correlation,window_days,relationship_type,layer
AAPL,ADBE,0.3154,90,market_correlation,market
AAPL,BEN,0.3089,90,market_correlation,market
AAPL,C,0.3456,90,market_correlation,market
AAPL,GOOG,0.4086,90,market_correlation,market
AAPL,GOOGL,0.4044,90,market_correlation,market
AAPL,GPN,0.3822,90,market_correlation,market
AAPL,MA,0.319,90,market_correlation,market
AAPL,MET,0.3468,90,market_correlation,market
AAPL,MITT,0.3873,90,market_correlation,market
AAPL,PAGS,0.317,90,market_correlation,market
AAPL,PAYO,0.3534,90,market_correlation,market
AAPL,PYPL,0.3351,90,market_correlation,market
AAPL,QCOM,0.3163,90,market_correlation,market
AAPL,SEIC,0.3133,90,market_correlation,market
AAPL,SNPS,0.3547,90,market_correlation,market
AAPL,STNE,0.4025,90,market_correlation,market
AAPL,STT,0.313,90,market_correlation,market
AAPL,TFC,0.3121,90,market_correlation,market
AAPL,TSLA,0.3392,90,market_correlation,market
AAPL,V,0.3651,90,market_correlation,market
AAPL,^DJI,0.4494,90,market_correlation,market
AAPL,^GSPC,0.528,90,market_correlation,market
AAPL,^IXIC,0.5336,90,market_correlation,market
AAPL,^RUT,0.3231,90,market_correlation,market
AAPL,^VIX,-0.5088,90,market_correlation,market
ADBE,AVB,0.4594,90,market_correlation,market
ADBE,AXP,0.3222,90,market_correlation,market
ADBE,BXP,0.3091,90,market_correlation,market
ADBE,CFG,0.3459,90,market_correlation,market
ADBE,CPAY,0.348,90,market_correlation,market
ADBE,CPT,0.4117,90,market_correlation,market
ADBE,CRM,0.5748,90,market_correlation,market
ADBE,EQR,0.4412,90,market_correlation,market
ADBE,ESS,0.4119,90,market_correlation,market
ADBE,EVR,0.4345,90,market_correlation,market
ADBE,EVTC,0.3298,90,market_correlation,market
ADBE,FHN,0.3497,90,market_correlation,market
ADBE,FIS,0.3449,90,market_correlation,market
ADBE,FITB,0.3109,90,market_correlation,market
ADBE,FOUR,0.3332,90,market_correlation,market
ADBE,FRT,0.3836,90,market_correlation,market
ADBE,GBCI,0.3563,90,market_correlation,market
ADBE,GPN,0.5045,90,market_correlation,market
ADBE,HBAN,0.3085,90,market_correlation,market
ADBE,INTU,0.3393,90,market_correlation,market
ADBE,INVH,0.374,90,market_correlation,market
ADBE,JKHY,0.3026,90,market_correlation,market
ADBE,KEY,0.3695,90,market_correlation,market
ADBE,KIM,0.3533,90,market_correlation,market
ADBE,MAA,0.3784,90,market_correlation,market
ADBE,MC,0.3846,90,market_correlation,market
ADBE,MET,0.3297,90,market_correlation,market
ADBE,NAVI,0.3188,90,market_correlation,market
ADBE,NOW,0.499,90,market_correlation,market
ADBE,ONB,0.3344,90,market_correlation,market
ADBE,PAGS,0.3301,90,market_correlation,market
ADBE,PANW,0.4299,90,market_correlation,market
ADBE,PAYO,0.457,90,market_correlation,market
ADBE,PNC,0.329,90,market_correlation,market
ADBE,PYPL,0.5187,90,market_correlation,market
ADBE,QCOM,0.3047,90,market_correlation,market
ADBE,RF,0.3148,90,market_correlation,market
ADBE,SOFI,0.3267,90,market_correlation,market
ADBE,SYF,0.3142,90,market_correlation,market
ADBE,TFC,0.37,90,market_correlation,market
ADBE,TXN,0.3103,90,market_correlation,market
ADBE,UDR,0.4401,90,market_correlation,market
ADBE,UMBF,0.3574,90,market_correlation,market
ADBE,USB,0.4091,90,market_correlation,market
ADBE,WTFC,0.4476,90,market_correlation,market
ADBE,ZION,0.3179,90,market_correlation,market
ADBE,^DJI,0.4063,90,market_correlation,market
ADBE,^GSPC,0.3061,90,market_correlation,market
ADBE,^RUT,0.3676,90,market_correlation,market
ADBE,^VIX,-0.3718,90,market_correlation,market
AFL,AIG,0.4418,90,market_correlation,market
AFL,AJG,0.4158,90,market_correlation,market
AFL,ALL,0.5671,90,market_correlation,market
AFL,AON,0.4916,90,market_correlation,market
AFL,APAM,0.3338,90,market_correlation,market
AFL,AVB,0.3128,90,market_correlation,market
AFL,AXP,0.3436,90,market_correlation,market
AFL,BEN,0.3129,90,market_correlation,market
AFL,BLK,0.3595,90,market_correlation,market
AFL,BRK-B,0.5381,90,market_correlation,market
AFL,CB,0.5035,90,market_correlation,market
AFL,CFG,0.3819,90,market_correlation,market
AFL,CMA,0.3285,90,market_correlation,market
AFL,CPAY,0.3735,90,market_correlation,market
AFL,EQR,0.3502,90,market_correlation,market
AFL,ESS,0.3426,90,market_correlation,market
AFL,EVTC,0.3409,90,market_correlation,market
AFL,FHN,0.4149,90,market_correlation,market
AFL,FITB,0.431,90,market_correlation,market
AFL,GBCI,0.3643,90,market_correlation,market
AFL,GPN,0.4171,90,market_correlation,market
AFL,HBAN,0.3646,90,market_correlation,market
AFL,HIG,0.6532,90,market_correlation,market
AFL,INVH,0.3101,90,market_correlation,market
AFL,JKHY,0.4174,90,market_correlation,market
AFL,KEY,0.3719,90,market_correlation,market
AFL,L,0.6763,90,market_correlation,market
AFL,MA,0.4719,90,market_correlation,market
AFL,MET,0.5464,90,market_correlation,market
AFL,MITT,0.4352,90,market_correlation,market
AFL,MMC,0.5812,90,market_correlation,market
AFL,MTB,0.3669,90,market_correlation,market
AFL,NVDA,-0.3408,90,market_correlation,market
AFL,O,0.3173,90,market_correlation,market
AFL,ONB,0.4185,90,market_correlation,market
AFL,PAYO,0.3077,90,market_correlation,market
AFL,PGR,0.584,90,market_correlation,market
AFL,PNC,0.4283,90,market_correlation,market
AFL,PRU,0.6225,90,market_correlation,market
AFL,RF,0.3829,90,market_correlation,market
AFL,RGA,0.5611,90,market_correlation,market
AFL,SEIC,0.458,90,market_correlation,market
AFL,SPG,0.3091,90,market_correlation,market
AFL,STT,0.3558,90,market_correlation,market
AFL,SUI,0.33,90,market_correlation,market
AFL,TFC,0.4342,90,market_correlation,market
AFL,TROW,0.3078,90,market_correlation,market
AFL,TRV,0.6039,90,market_correlation,market
AFL,UDR,0.3112,90,market_correlation,market
AFL,UMBF,0.3037,90,market_correlation,market
AFL,USB,0.3794,90,market_correlation,market
AFL,V,0.4271,90,market_correlation,market
AFL,VICI,0.3558,90,market_correlation,market
AFL,WFC,0.3175,90,market_correlation,market
AFL,WRB,0.6227,90,market_correlation,market
AFL,WTFC,0.3733,90,market_correlation,market
AFL,ZION,0.406,90,market_correlation,market
AFL,^DJI,0.304,90,market_correlation,market
AFRM,AMZN,0.44,90,market_correlation,market
AFRM,BK,0.3039,90,market_correlation,market
AFRM,C,0.3063,90,market_correlation,market
AFRM,CFG,0.332,90,market_correlation,market
AFRM,CIM,0.3361,90,market_correlation,market
AFRM,COF,0.3915,90,market_correlation,market
AFRM,COIN,0.4085,90,market_correlation,market
AFRM,EVR,0.3365,90,market_correlation,market
AFRM,FITB,0.3253,90,market_correlation,market
AFRM,FOUR,0.3081,90,market_correlation,market
AFRM,GPN,0.3546,90,market_correlation,market
AFRM,GS,0.3385,90,market_correlation,market
AFRM,HBAN,0.3061,90,market_correlation,market
AFRM,HOOD,0.3703,90,market_correlation,market
AFRM,KEY,0.318,90,market_correlation,market
AFRM,LC,0.3884,90,market_correlation,market
AFRM,MC,0.3159,90,market_correlation,market
AFRM,META,0.3796,90,market_correlation,market
AFRM,MFA,0.3017,90,market_correlation,market
AFRM,MSFT,0.3564,90,market_correlation,market
AFRM,PAGS,0.3067,90,market_correlation,market
AFRM,PAYO,0.3996,90,market_correlation,market
AFRM,PYPL,0.393,90,market_correlation,market
AFRM,SEIC,0.3812,90,market_correlation,market
AFRM,SOFI,0.556,90,market_correlation,market
AFRM,SYF,0.3548,90,market_correlation,market
AFRM,TROW,0.3753,90,market_correlation,market
AFRM,UPST,0.4862,90,market_correlation,market
AFRM,USB,0.3245,90,market_correlation,market
AFRM,WTFC,0.3065,90,market_correlation,market
AFRM,^DJI,0.3894,90,market_correlation,market
AFRM,^GSPC,0.46,90,market_correlation,market
AFRM,^IXIC,0.4682,90,market_correlation,market
AFRM,^RUT,0.4025,90,market_correlation,market
AFRM,^VIX,-0.3822,90,market_correlation,market
AGNC,APAM,0.434,90,market_correlation,market
AGNC,AVB,0.4224,90,market_correlation,market
AGNC,BEN,0.3377,90,market_correlation,market
AGNC,BXP,0.4415,90,market_correlation,market
AGNC,CFG,0.3567,90,market_correlation,market
AGNC,CI,0.3293,90,market_correlation,market
AGNC,CIM,0.6565,90,market_correlation,market
AGNC,CPAY,0.3816,90,market_correlation,market
AGNC,CPT,0.4055,90,market_correlation,market
AGNC,DX,0.8168,90,market_correlation,market
AGNC,EARN,0.3491,90,market_correlation,market
AGNC,EQR,0.4613,90,market_correlation,market
AGNC,ESS,0.4811,90,market_correlation,market
AGNC,EVR,0.3271,90,market_correlation,market
AGNC,EXR,0.3837,90,market_correlation,market
AGNC,FIS,0.4371,90,market_correlation,market
AGNC,FITB,0.4079,90,market_correlation,market
AGNC,FRT,0.4699,90,market_correlation,market
AGNC,GBCI,0.3929,90,market_correlation,market
AGNC,HBAN,0.4069,90,market_correlation,market
AGNC,HIG,0.3386,90,market_correlation,market
AGNC,INVH,0.3478,90,market_correlation,market
AGNC,IVR,0.7241,90,market_correlation,market
AGNC,JKHY,0.3358,90,market_correlation,market
